estado,sigla,regiao,cidade,populacao,pib,pib_percapita
ACRE,AC,NORTE,Marechal Thaumaturgo,14275.0,109181.8671875,7648.47021484
ACRE,AC,NORTE,Senador Guiomard,19697.0,217153.859375,11024.71972656
ACRE,AC,NORTE,Assis Brasil,5662.0,48347.30078125,8538.91015625
ACRE,AC,NORTE,Epitaciolândia,14224.0,129641.09375,9114.25
ACRE,AC,NORTE,Manoel Urbano,7505.0,61478.73046875,8191.70019531
ACRE,AC,NORTE,Tarauacá,33883.0,258505.0625,7629.33984375
ACRE,AC,NORTE,Mâncio Lima,14774.0,103294.7421875,6991.66015625
ACRE,AC,NORTE,Plácido de Castro,18235.0,204410.5625,11209.79003906
ALAGOAS,AL,NORDESTE,Dois Riachos,11200.0,35078.25390625,3131.98999023
ALAGOAS,AL,NORDESTE,Belém,5083.0,19550.015625,3846.15991211
ALAGOAS,AL,NORDESTE,Santana do Mundaú,12039.0,52134.53515625,4330.47021484
ALAGOAS,AL,NORDESTE,Campo Alegre,47209.0,182361.03125,3862.84008789
ALAGOAS,AL,NORDESTE,Passo de Camaragibe,14261.0,59784.6875,4192.18017578
ALAGOAS,AL,NORDESTE,Marechal Deodoro,47623.0,620477.5,13028.95019531
ALAGOAS,AL,NORDESTE,São Miguel dos Milagres,7601.0,29789.48828125,3919.14990234
ALAGOAS,AL,NORDESTE,Olho D'Água do Casado,8517.0,27759.3671875,3259.29003906
ALAGOAS,AL,NORDESTE,Paulo Jacinto,7772.0,24402.88085938,3139.85009766
ALAGOAS,AL,NORDESTE,Pilar,32655.0,174139.0625,5332.68994141
ALAGOAS,AL,NORDESTE,Cacimbinhas,10182.0,39280.7421875,3857.86010742
ALAGOAS,AL,NORDESTE,Jacuípe,7045.0,29361.71679688,4167.74023438
ALAGOAS,AL,NORDESTE,Minador do Negrão,5292.0,22713.8515625,4292.10986328
ALAGOAS,AL,NORDESTE,Anadia,17740.0,72170.7265625,4068.25
ALAGOAS,AL,NORDESTE,Senador Rui Palmeira,13110.0,35231.92578125,2687.40991211
ALAGOAS,AL,NORDESTE,Pariconha,10539.0,32510.77148438,3084.81005859
ALAGOAS,AL,NORDESTE,Mata Grande,25309.0,70679.9765625,2792.67993164
ALAGOAS,AL,NORDESTE,Messias,15899.0,62115.51171875,3906.87988281
ALAGOAS,AL,NORDESTE,Taquarana,18848.0,67490.1875,3580.76000977
ALAGOAS,AL,NORDESTE,Teotônio Vilela,41935.0,186967.0625,4458.5
ALAGOAS,AL,NORDESTE,Canapi,18397.0,53345.25390625,2899.66992188
ALAGOAS,AL,NORDESTE,Olho D'Água Grande,4963.0,16447.203125,3313.95996094
ALAGOAS,AL,NORDESTE,Branquinha,12215.0,42036.96875,3441.41992188
ALAGOAS,AL,NORDESTE,Major Isidoro,19530.0,73942.796875,3786.11010742
ALAGOAS,AL,NORDESTE,Colônia Leopoldina,20181.0,106579.515625,5281.18017578
ALAGOAS,AL,NORDESTE,Coruripe,53369.0,463296.53125,8681.0
ALAGOAS,AL,NORDESTE,Novo Lino,12449.0,47015.875,3776.67993164
ALAGOAS,AL,NORDESTE,Água Branca,19989.0,59232.4921875,2963.25
ALAGOAS,AL,NORDESTE,Palmeira dos Índios,72564.0,358377.4375,4938.77978516
ALAGOAS,AL,NORDESTE,Batalha,16919.0,66246.3359375,3915.5
ALAGOAS,AL,NORDESTE,Ibateguara,15863.0,56599.32421875,3568.01000977
ALAGOAS,AL,NORDESTE,União dos Palmares,62727.0,400757.65625,6388.91992188
AMAZONAS,AM,NORTE,Envira,17614.0,69843.03125,3965.19995117
AMAZONAS,AM,NORTE,Nova Olinda do Norte,31012.0,108783.34375,3507.7800293
AMAZONAS,AM,NORTE,Manaus,1738641.0,40486108.0,23286.06054688
AMAZONAS,AM,NORTE,Rio Preto da Eva,26847.0,216235.546875,8054.37011719
AMAZONAS,AM,NORTE,Coari,66991.0,1103350.125,16470.11914062
AMAZONAS,AM,NORTE,Apuí,18597.0,146993.34375,7904.14013672
AMAZONAS,AM,NORTE,Urucará,15780.0,69487.6171875,4403.52001953
AMAZONAS,AM,NORTE,Autazes,31774.0,136269.859375,4288.72021484
AMAZONAS,AM,NORTE,Anamã,8673.0,41735.99609375,4812.18017578
AMAZONAS,AM,NORTE,Novo Airão,15915.0,61709.34765625,3877.42993164
AMAZONAS,AM,NORTE,Itamarati,8281.0,36895.9296875,4455.49023438
AMAZONAS,AM,NORTE,Benjamin Constant,31195.0,116750.1015625,3742.59008789
BAHIA,BA,NORDESTE,Tremedal,18433.0,57883.9921875,3140.23999023
BAHIA,BA,NORDESTE,Maetinga,7884.0,23558.44726562,2988.12988281
BAHIA,BA,NORDESTE,Ibirapuã,7893.0,74997.40625,9501.75976562
BAHIA,BA,NORDESTE,Governador Mangabeira,20668.0,92903.8203125,4495.06005859
BAHIA,BA,NORDESTE,Ibititá,19410.0,62366.88671875,3213.12988281
BAHIA,BA,NORDESTE,Sátiro Dias,18919.0,75908.4609375,4012.29003906
BAHIA,BA,NORDESTE,Irajuba,7666.0,29224.98828125,3812.29003906
BAHIA,BA,NORDESTE,Itaquara,7743.0,33105.69921875,4275.56982422
BAHIA,BA,NORDESTE,Cansanção,34093.0,112228.7734375,3291.84008789
BAHIA,BA,NORDESTE,Itaparica,20796.0,102586.6484375,4933.0
BAHIA,BA,NORDESTE,Nova Redenção,9318.0,28909.56835938,3102.55004883
BAHIA,BA,NORDESTE,Ibicuí,16464.0,69475.15625,4219.81982422
BAHIA,BA,NORDESTE,Santa Rita de Cássia,27528.0,91663.0,3329.81005859
BAHIA,BA,NORDESTE,Nordestina,12670.0,35456.31640625,2798.44995117
BAHIA,BA,NORDESTE,Coronel João Sá,18408.0,76828.921875,4173.66992188
BAHIA,BA,NORDESTE,Pedro Alexandre,17698.0,58842.01171875,3324.7800293
BAHIA,BA,NORDESTE,Prado,26016.0,285453.96875,10972.25
